chr	start	end	id	name	counts	tpm
chr1	69091	70008	ENSG00000186092.4	OR4F5	NA	NA
chr1	134901	139379	ENSG00000237683.5	AL627309.1	1	30.8414034069698
chr1	367640	368634	ENSG00000235249.1	OR4F29	NA	NA
chr1	621059	622053	ENSG00000185097.2	OR4F16	NA	NA
chr1	738532	739137	ENSG00000269831.1	AL669831.1	NA	NA
chr1	818043	819983	ENSG00000269308.1	AL645608.2	NA	NA
chr1	860260	879955	ENSG00000187634.6	SAMD11	1	7.01232822830214
chr1	861264	866445	ENSG00000268179.1	AL645608.1	1	26.6565922517681
chr1	879584	894689	ENSG00000188976.6	NOC2L	1	9.14318467106326
chr1	895967	901095	ENSG00000187961.9	KLHL17	6	161.592594917797
chr1	901877	911245	ENSG00000187583.6	PLEKHN1	2	29.4850137609758
chr1	910579	917497	ENSG00000187642.5	C1orf170	1	19.9635450211637
chr1	934342	935552	ENSG00000188290.6	HES4	NA	NA
chr1	948803	949920	ENSG00000187608.5	ISG15	1	123.641722879508
chr1	955503	991496	ENSG00000188157.9	AGRN	1	3.83707399928905
chr1	1006346	1009687	ENSG00000237330.2	RNF223	NA	NA
chr1	1017198	1051741	ENSG00000131591.13	C1orf159	3	11.9944247277084
chr1	1109264	1133315	ENSG00000162571.9	TTLL10	90	516.806053847115
chr1	1138888	1142071	ENSG00000186891.9	TNFRSF18	2	86.7783879713544
chr1	1146706	1149518	ENSG00000186827.6	TNFRSF4	1	49.1137284695628
chr1	1152288	1167411	ENSG00000078808.12	SDF4	1	9.13230208665017
chr1	1167629	1170421	ENSG00000176022.3	B3GALT6	1	49.465546008743
chr1	1177826	1182102	ENSG00000184163.3	FAM132A	1	32.2983639982251
chr1	1189289	1209265	ENSG00000160087.16	UBE2J2	1	6.91368664679669
chr1	1215816	1227409	ENSG00000162572.15	SCNN1D	1	11.9130341116545
chr1	1227756	1244989	ENSG00000131584.14	ACAP3	1	8.01414753417342
chr1	1243947	1247057	ENSG00000169972.7	PUSL1	1	44.4076541660484
chr1	1246965	1260071	ENSG00000127054.14	CPSF3L	1	10.5377540406234
chr1	1260136	1264277	ENSG00000224051.2	GLTPD1	NA	NA
chr1	1266694	1270686	ENSG00000169962.4	TAS1R3	8	276.769147207236
chr1	1270656	1284730	ENSG00000107404.13	DVL1	2	19.6259491909067
chr1	1288069	1297157	ENSG00000162576.12	MXRA8	1	15.1967214410663
chr1	1309110	1310875	ENSG00000175756.9	AURKAIP1	NA	NA
chr1	1321091	1334708	ENSG00000221978.7	CCNL2	1	10.1423077371235
chr1	1334902	1337426	ENSG00000224870.3	RP4-758J18.2	1	54.7178306087205
chr1	1337288	1342693	ENSG00000242485.1	MRPL20	NA	NA
chr1	1353800	1357149	ENSG00000235098.4	ANKRD65	NA	NA
chr1	1361508	1363167	ENSG00000205116.3	TMEM88B	490	40791.3346495727
chr1	1370241	1378262	ENSG00000179403.10	VWA1	1	17.218277578408
chr1	1385069	1405538	ENSG00000215915.5	ATAD3C	2	13.4943382145108
chr1	1407143	1433228	ENSG00000160072.15	ATAD3B	1	5.29452959388195
chr1	1447531	1470067	ENSG00000197785.9	ATAD3A	1	6.12831933157662
chr1	1470554	1475833	ENSG00000205090.4	TMEM240	NA	NA
chr1	1477053	1510249	ENSG00000160075.10	SSU72	1	4.16037487819046
chr1	1510355	1511373	ENSG00000215014.3	AL645728.1	1	135.665819701779
chr1	1533392	1535476	ENSG00000228594.1	C1orf233	1	66.2705395664158
chr1	1550795	1565990	ENSG00000197530.8	MIB2	1	9.08902957923071
chr1	1567474	1570639	ENSG00000189409.8	MMP23B	NA	NA
chr1	1570603	1590473	ENSG00000248333.3	CDK11B	2	13.9011378416115
chr1	1592939	1624167	ENSG00000189339.7	SLC35E2B	1	4.42256322711703
chr1	1634169	1655766	ENSG00000008128.18	CDK11A	2	12.7895359963338
chr1	1656277	1677431	ENSG00000215790.2	SLC35E2	1	6.52868509295692
chr1	1682671	1711896	ENSG00000008130.11	NADK	1	4.72567337746486
chr1	1716729	1822495	ENSG00000078369.13	GNB1	1	1.30578640069976
chr1	1846266	1848735	ENSG00000169885.5	CALML6	NA	NA
chr1	1849029	1850712	ENSG00000178821.8	TMEM52	NA	NA
chr1	1853396	1935276	ENSG00000142609.13	C1orf222	1	1.6867098736738
chr1	1950780	1962192	ENSG00000187730.6	GABRD	1	12.1019807620409
chr1	1981909	2116834	ENSG00000067606.11	PRKCZ	1	1.02358943454816
chr1	2115903	2144159	ENSG00000162585.12	C1orf86	1	4.8877337364245
chr1	2121237	2123179	ENSG00000269554.1	AL590822.2	1	71.1162741794081
chr1	2143360	2145620	ENSG00000203301.2	AL590822.1	NA	NA
chr1	2160134	2241558	ENSG00000157933.9	SKI	1	1.69615597927405
chr1	2252692	2323146	ENSG00000116151.9	MORN1	1	1.96025498135536
chr1	2258581	2259042	ENSG00000269753.1	AL589739.1	NA	NA
chr1	2323267	2336883	ENSG00000157916.14	RER1	1	10.1430526187141
chr1	2336236	2345236	ENSG00000157911.5	PEX10	43	659.848399069517
chr1	2357419	2436969	ENSG00000149527.13	PLCH2	1	1.73611319241245
chr1	2439972	2458039	ENSG00000157881.9	PANK4	1	7.64420238315219
chr1	2460184	2461684	ENSG00000197921.5	HES5	NA	NA
chr1	2487078	2496821	ENSG00000157873.13	TNFRSF14	1	14.1750800016843
chr1	2517930	2522908	ENSG00000157870.10	FAM213B	NA	NA
chr1	2522078	2564481	ENSG00000142606.11	MMEL1	1	3.2570290888949
chr1	2567415	2718286	ENSG00000215912.7	TTC34	1	0.915403254809808
chr1	2938046	2939465	ENSG00000169717.5	ACTRT2	6	583.965346538734
chr1	2985732	3355185	ENSG00000142611.12	PRDM16	1	0.373816979308357
chr1	3370990	3397677	ENSG00000130762.10	ARHGEF16	1	5.17509665591526
chr1	3406484	3528059	ENSG00000162591.11	MEGF6	1	1.13598852113025
chr1	3541566	3546691	ENSG00000158109.10	TPRG1L	1	26.9478642841777
chr1	3547331	3569325	ENSG00000116213.11	WRAP73	2	12.5586800451405
chr1	3569084	3652765	ENSG00000078900.10	TP73	1	1.65040815067232
chr1	3668962	3688209	ENSG00000162592.4	CCDC27	1	7.17554966781372
chr1	3689352	3692546	ENSG00000235169.3	SMIM1	1	43.2397634490954
chr1	3696784	3713068	ENSG00000130764.5	LRRC47	1	8.4811965399417
chr1	3728645	3773778	ENSG00000116198.8	CEP104	1	3.06001826726366
chr1	3773845	3801993	ENSG00000169598.11	DFFB	1	4.90648729772668
chr1	3805689	3816857	ENSG00000198912.6	C1orf174	1	12.3663865021858
chr1	4714792	4852594	ENSG00000196581.6	AJAP1	1	1.0022191583316
chr1	5922871	6052533	ENSG00000131697.13	NPHP4	1	1.06513708300358
chr1	6051526	6161253	ENSG00000069424.10	KCNAB2	1	1.25864923361079
chr1	6100630	6101399	ENSG00000268332.1	AL035406.1	NA	NA
chr1	6161853	6240183	ENSG00000116254.13	CHD5	3	5.28946014769861
chr1	6241329	6269449	ENSG00000116251.5	RPL22	1	4.91137284695628
chr1	6265535	6281359	ENSG00000158286.8	RNF207	1	8.72774295098652
chr1	6281253	6296032	ENSG00000116237.11	ICMT	1	9.34486801924424
chr1	6304252	6305638	ENSG00000173673.7	HES3	1	99.6448805601808
chr1	6307406	6321035	ENSG00000158292.6	GPR153	1	10.1333776840862
chr1	6324329	6454451	ENSG00000097021.15	ACOT7	1	1.06137167009737
chr1	6472478	6484730	ENSG00000069812.7	HES2	6	67.6335966975566
chr1	6484848	6521430	ENSG00000187017.10	ESPN	1	3.77529398218825
chr1	6521211	6526255	ENSG00000215788.5	TNFRSF25	1	27.3806115099942
chr1	6526152	6580121	ENSG00000171680.16	PLEKHG5	1	2.55902100199023
