chr	start	end	id	name	counts	rpkm
chr1	69091	70008	ENSG00000186092.4	OR4F5	NA	NA
chr1	134901	139379	ENSG00000237683.5	AL627309.1	1	0.0175718802249653
chr1	367640	368634	ENSG00000235249.1	OR4F29	NA	NA
chr1	621059	622053	ENSG00000185097.2	OR4F16	NA	NA
chr1	738532	739137	ENSG00000269831.1	AL669831.1	NA	NA
chr1	818043	819983	ENSG00000269308.1	AL645608.2	NA	NA
chr1	860260	879955	ENSG00000187634.6	SAMD11	1	0.00399527187851712
chr1	861264	866445	ENSG00000268179.1	AL645608.1	1	0.015187585340165
chr1	879584	894689	ENSG00000188976.6	NOC2L	1	0.00520932668966532
chr1	895967	901095	ENSG00000187961.9	KLHL17	6	0.092067331880727
chr1	901877	911245	ENSG00000187583.6	PLEKHN1	2	0.0167990776360791
chr1	910579	917497	ENSG00000187642.5	C1orf170	1	0.0113742237131244
chr1	934342	935552	ENSG00000188290.6	HES4	NA	NA
chr1	948803	949920	ENSG00000187608.5	ISG15	1	0.0704448340621259
chr1	955503	991496	ENSG00000188157.9	AGRN	1	0.00218617174582265
chr1	1006346	1009687	ENSG00000237330.2	RNF223	NA	NA
chr1	1017198	1051741	ENSG00000131591.13	C1orf159	3	0.00683381984605228
chr1	1109264	1133315	ENSG00000162571.9	TTLL10	90	0.294450092231738
chr1	1138888	1142071	ENSG00000186891.9	TNFRSF18	2	0.0494419601931478
chr1	1146706	1149518	ENSG00000186827.6	TNFRSF4	1	0.0279825318802968
chr1	1152288	1167411	ENSG00000078808.12	SDF4	1	0.00520312634050087
chr1	1167629	1170421	ENSG00000176022.3	B3GALT6	1	0.0281829798164021
chr1	1177826	1182102	ENSG00000184163.3	FAM132A	1	0.018401983079372
chr1	1189289	1209265	ENSG00000160087.16	UBE2J2	1	0.00393907086741063
chr1	1215816	1227409	ENSG00000162572.15	SCNN1D	1	0.00678744756727289
chr1	1227756	1244989	ENSG00000131584.14	ACAP3	1	0.00456605812379705
chr1	1243947	1247057	ENSG00000169972.7	PUSL1	1	0.0253012474750465
chr1	1246965	1260071	ENSG00000127054.14	CPSF3L	1	0.00600388216445862
chr1	1260136	1264277	ENSG00000224051.2	GLTPD1	NA	NA
chr1	1266694	1270686	ENSG00000169962.4	TAS1R3	8	0.157689137569929
chr1	1270656	1284730	ENSG00000107404.13	DVL1	2	0.0111818785913592
chr1	1288069	1297157	ENSG00000162576.12	MXRA8	1	0.00865832742598973
chr1	1309110	1310875	ENSG00000175756.9	AURKAIP1	NA	NA
chr1	1321091	1334708	ENSG00000221978.7	CCNL2	1	0.00577857675313172
chr1	1334902	1337426	ENSG00000224870.3	RP4-758J18.2	1	0.0311754673721849
chr1	1337288	1342693	ENSG00000242485.1	MRPL20	NA	NA
chr1	1353800	1357149	ENSG00000235098.4	ANKRD65	NA	NA
chr1	1361508	1363167	ENSG00000205116.3	TMEM88B	490	23.2408505287664
chr1	1370241	1378262	ENSG00000179403.10	VWA1	1	0.00981010842131837
chr1	1385069	1405538	ENSG00000215915.5	ATAD3C	2	0.00768839509965261
chr1	1407143	1433228	ENSG00000160072.15	ATAD3B	1	0.00301655662823058
chr1	1447531	1470067	ENSG00000197785.9	ATAD3A	1	0.00349160807807041
chr1	1470554	1475833	ENSG00000205090.4	TMEM240	NA	NA
chr1	1477053	1510249	ENSG00000160075.10	SSU72	1	0.00237037232339422
chr1	1510355	1511373	ENSG00000215014.3	AL645728.1	1	0.0772955595750439
chr1	1533392	1535476	ENSG00000228594.1	C1orf233	1	0.0377576197924159
chr1	1550795	1565990	ENSG00000197530.8	MIB2	1	0.00517847184253996
chr1	1567474	1570639	ENSG00000189409.8	MMP23B	NA	NA
chr1	1570603	1590473	ENSG00000248333.3	CDK11B	2	0.00792016906365321
chr1	1592939	1624167	ENSG00000189339.7	SLC35E2B	1	0.00251975405557175
chr1	1634169	1655766	ENSG00000008128.18	CDK11A	2	0.00728683424988606
chr1	1656277	1677431	ENSG00000215790.2	SLC35E2	1	0.00371971634903066
chr1	1682671	1711896	ENSG00000008130.11	NADK	1	0.0026924509716816
chr1	1716729	1822495	ENSG00000078369.13	GNB1	1	0.000743971405247382
chr1	1846266	1848735	ENSG00000169885.5	CALML6	NA	NA
chr1	1849029	1850712	ENSG00000178821.8	TMEM52	NA	NA
chr1	1853396	1935276	ENSG00000142609.13	C1orf222	1	0.000961002438292558
chr1	1950780	1962192	ENSG00000187730.6	GABRD	1	0.00689509986394976
